0,3
0,13
0,18
0,19
0,25
0,26
1,7
1,14
1,17
1,27
2,5
2,6
2,7
2,9
2,10
2,12
2,20
2,21
2,24
2,28
3,6
3,13
3,24
3,25
3,26
3,29
4,8
4,12
4,15
4,16
4,23
5,6
5,7
5,9
5,10
5,20
5,24
5,27
5,28
5,29
6,10
6,20
6,24
6,25
6,27
6,29
7,10
7,14
7,17
7,20
7,24
7,27
7,28
7,29
8,15
8,16
8,18
8,19
8,23
8,26
9,10
9,11
9,12
9,20
9,21
9,22
9,28
10,17
10,20
10,24
10,25
10,27
10,29
11,12
11,21
11,22
11,28
12,21
12,22
12,28
13,18
13,19
13,25
13,26
14,17
14,27
15,16
15,18
15,19
15,23
15,26
16,23
17,24
17,27
17,29
18,19
18,23
18,25
18,26
19,23
19,25
19,26
20,24
20,25
20,27
20,29
21,22
21,28
22,28
23,26
24,25
24,27
24,29
25,26
25,29
27,29
3,0
13,0
18,0
19,0
25,0
26,0
7,1
14,1
17,1
27,1
5,2
6,2
7,2
9,2
10,2
12,2
20,2
21,2
24,2
28,2
6,3
13,3
24,3
25,3
26,3
29,3
8,4
12,4
15,4
16,4
23,4
6,5
7,5
9,5
10,5
20,5
24,5
27,5
28,5
29,5
10,6
20,6
24,6
25,6
27,6
29,6
10,7
14,7
17,7
20,7
24,7
27,7
28,7
29,7
15,8
16,8
18,8
19,8
23,8
26,8
10,9
11,9
12,9
20,9
21,9
22,9
28,9
17,10
20,10
24,10
25,10
27,10
29,10
12,11
21,11
22,11
28,11
21,12
22,12
28,12
18,13
19,13
25,13
26,13
17,14
27,14
16,15
18,15
19,15
23,15
26,15
23,16
24,17
27,17
29,17
19,18
23,18
25,18
26,18
23,19
25,19
26,19
24,20
25,20
27,20
29,20
22,21
28,21
28,22
26,23
25,24
27,24
29,24
26,25
29,25
29,27
